label,clean_latest_controller,n_eval,tail20,std20,last,best,notes
v73a,yes,160,1259.2,503.7,1468.8,5087.0,reg0 recent08
v73b,yes,160,72.1,1457.9,279.3,6487.0,controller_reg_multiplier_0.1 recent08
v73c,yes,160,1467.2,737.5,1508.2,10170.5,reg0 recent12 best_v73
v73d,yes,160,106.0,1475.2,1704.9,8991.2,controller_reg_multiplier_0.1 recent12
v74a,yes,160,1313.5,534.8,749.3,4798.3,weight_reg_0.003 recent08 actor_update_0.25
v74b,yes,160,545.8,151.6,450.6,4513.1,weight_reg_0.003 recent08 actor_update_0.0 critic_pathology
v74c2,no,160,-3245.6,1511.9,-3798.2,5633.8,node007 stale-code result
v74d2,no,160,-3612.6,2565.2,-1224.1,5326.6,node007 stale-code result
v75r_a,no,160,-3946.9,2785.4,-1923.4,8668.9,node007 stale-code result
v75r_b,no,160,-4791.9,2056.6,-2293.9,4884.8,node007 stale-code result
v75r_c,yes,160,3001.6,1184.4,3149.1,5592.3,weight_reg_0.01 recent12 actor_update_0.25 best_current_ant
v75r_d,yes,160,1353.3,410.0,754.9,4567.8,weight_reg_0.01 recent12 actor_update_0.0 critic_pathology
